season,fpos,ccode,played,won,drawn,lost,scored,conceded,goal_diff,points
2018_2019,17,CHE,38,21,7,10,62,38,24,70
2018_2019,18,LIV,38,21,12,5,84,38,46,75
2018_2019,19,MUN,38,25,6,7,68,28,40,81
2018_2019,20,MCI,38,32,4,2,106,27,79,100
1995_1996,1,BOL,38,8,5,25,39,71,-32,29
1995_1996,2,MUN,38,25,7,6,73,35,38,82
1995_1996,3,QPR,38,9,6,23,38,57,-19,33
1995_1996,4,MCI,38,9,11,18,33,58,-25,38
1995_1996,5,SOU,38,9,11,18,34,52,-18,38
1995_1996,6,COV,38,8,14,16,42,60,-18,38
1995_1996,7,SHW,38,10,10,18,48,61,-13,40
1995_1996,8,WIM,38,10,11,17,55,70,-15,41
1995_1996,9,LEE,38,12,7,19,40,57,-17,43
1995_1996,10,CHE,38,12,14,12,46,44,2,50
1995_1996,11,WHU,38,14,9,15,43,52,-9,51
1995_1996,12,NFO,38,15,13,10,50,54,-4,58
1995_1996,13,TOT,38,16,13,9,50,38,12,61
1995_1996,14,BLB,38,18,7,13,61,47,14,61
1995_1996,15,EVE,38,17,10,11,64,44,20,61
1995_1996,16,ARS,38,17,12,9,49,32,17,63
1995_1996,17,AVL,38,18,9,11,52,35,17,63
1995_1996,18,LIV,38,20,11,7,70,34,36,71
1995_1996,19,NEW,38,24,6,8,66,37,29,78
1995_1996,20,MID,38,11,10,17,35,50,-15,43
1996_1997,1,NFO,38,6,16,16,31,59,-28,34
1996_1997,2,SUN,38,10,10,18,35,53,-18,40
1996_1997,3,COV,38,9,14,15,38,54,-16,41
1996_1997,4,SOU,38,10,11,17,50,56,-6,41
1996_1997,5,EVE,38,10,12,16,44,57,-13,42
1996_1997,6,WHU,38,10,12,16,39,48,-9,42
1996_1997,7,MID,38,10,12,16,51,60,-9,42
1996_1997,8,BLB,38,9,15,14,42,43,-1,42
1996_1997,9,DER,38,11,13,14,45,58,-13,46
1996_1997,10,NEW,38,19,11,8,73,40,33,68
1996_1997,11,TOT,38,13,7,18,44,51,-7,46
1996_1997,12,MUN,38,21,12,5,76,44,32,75
1996_1997,13,LEI,38,12,11,15,46,54,-8,47
1996_1997,14,WIM,38,15,11,12,49,46,3,56
1996_1997,15,SHW,38,14,15,9,50,51,-1,57
1996_1997,16,CHE,38,16,11,11,58,55,3,59
1996_1997,17,AVL,38,17,10,11,47,34,13,61
1996_1997,18,LIV,38,19,11,8,62,37,25,68
1996_1997,19,ARS,38,19,11,8,62,32,30,68
1996_1997,20,LEE,38,11,13,14,28,38,-10,46
2014_2015,1,QPR,38,8,6,24,42,73,-31,30
2014_2015,2,CHE,38,26,9,3,73,32,41,87
2014_2015,3,BUR,38,7,12,19,28,53,-25,33
2014_2015,4,HUL,38,8,11,19,33,51,-18,35
2014_2015,5,AVL,38,10,8,20,31,57,-26,38
2014_2015,6,SUN,38,7,17,14,31,53,-22,38
2014_2015,7,NEW,38,10,9,19,40,63,-23,39
2014_2015,8,LEI,38,11,8,19,46,55,-9,41
2014_2015,9,WBA,38,11,11,16,38,51,-13,44
2014_2015,10,EVE,38,12,11,15,48,50,-2,47
2014_2015,11,CRY,38,13,9,16,47,51,-4,48
2014_2015,12,STK,38,15,9,14,48,45,3,54
2014_2015,13,SWA,38,16,8,14,46,49,-3,56
2014_2015,14,SOU,38,18,6,14,54,33,21,60
2014_2015,15,LIV,38,18,8,12,52,48,4,62
2014_2015,16,TOT,38,19,7,12,58,53,5,64
2014_2015,17,MUN,38,20,10,8,62,37,25,70
2014_2015,18,ARS,38,22,9,7,71,36,35,75
2014_2015,19,MCI,38,24,7,7,83,38,45,79
2014_2015,20,WHU,38,12,11,15,44,47,-3,47
2020_2021,1,SHU,38,7,2,29,20,63,-43,23
2020_2021,2,WBA,38,5,11,22,35,76,-41,26
2020_2021,3,FUL,38,5,13,20,27,53,-26,28
2020_2021,4,BUR,38,10,9,19,33,55,-22,39
2020_2021,5,BHA,38,9,14,15,40,46,-6,41
2020_2021,6,SOU,38,12,7,19,47,68,-21,43
2020_2021,7,CRY,38,12,8,18,41,66,-25,44
2020_2021,8,WOL,38,12,9,17,36,52,-16,45
2020_2021,9,NEW,38,12,9,17,46,62,-16,45
2020_2021,10,MUN,38,21,11,6,73,44,29,74
2020_2021,11,EVE,38,17,8,13,47,48,-1,59
2020_2021,12,MCI,38,27,5,6,83,32,51,86
2020_2021,13,LEE,38,18,5,15,62,54,8,59
2020_2021,14,ARS,38,18,7,13,55,39,16,61
2020_2021,15,TOT,38,18,8,12,68,45,23,62
2020_2021,16,WHU,38,19,8,11,62,47,15,65
2020_2021,17,LEI,38,20,6,12,68,50,18,66
2020_2021,18,CHE,38,19,10,9,58,36,22,67
2020_2021,19,LIV,38,20,9,9,68,42,26,69
2020_2021,20,AVL,38,16,7,15,55,46,9,55
